sample,version,label,final_verdict,final_is_malicious,final_is_flagged,dyn_verdict,dyn_is_malicious,static_verdict,static_is_malicious,invisible_unicode,decided_by
0xS1rx58D3V.ChatGPT-B0T,0.0.1,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
498-00.httpformat,1.1.2,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
7finney.ethcode,0.5.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
AhmedSlem.secure-codee,0.0.2,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
AutoMind.automindX,1.0.1,1,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,0,static
BenjaminFriedl.lexica-img-fix,0.0.1,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
BlockchainIndustries.bitcoin-toolkit,0.0.1,1,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,0,static
BlockchainIndustries.hardhat-toolkit,0.0.1,1,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,0,static
BlockchainIndustries.solana-toolkit,0.0.1,1,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,0,static
Bobronium.darcula-from-pycharm,0.9.0,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
CSF-RED.CSF-RED,0.0.1,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
CodamaSoftware.ai-docs-and-comments,0.0.8,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
EchelonStudios.blockchain-language-support,1.0.1,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
EthCompiler.among-eth,1.0.2,1,SUSPICIOUS,0,1,SUSPICIOUS,0,BENIGN,0,0,dynamic
EtherFoundation.vs-ranket,1.1.1,1,MALICIOUS,1,1,MALICIOUS,1,BENIGN,0,0,dynamic
Ethereum.SoliditySupport,1.0.0,1,MALICIOUS,1,1,MALICIOUS,1,BENIGN,0,0,dynamic
Expressjs.expressjs-session,1.24.0,1,MALICIOUS,1,1,MALICIOUS,1,BENIGN,0,0,dynamic
